Food_Name,Overview,Type,Irritable_Bowel_Syndrome​_Score,Irritable_Bowel_Syndrome​_Reason,Obesity_Score,Obesity_Reason,Source,Diabetes_Score,Diabetes_Reason,Carbohydrate_content,Source,Hyperlipidimia_Score,Hyperlipidemia_Reason,Source,Hypertension_Score,Hypertension_Reason,Healthy,Think_Well_Score,Think_Well_Reason_,Feel_Well_Score,Feel_Well_Reason,Live_Well_Score,Live_Well_Reason,"Gut_Superfood_or_Fermented_food_=_1,_else_0",Allergens,Dietary_Restrictions,Similar_Choices,Mealtimes,Additional_food,Healthier_alternatives,
Acai Bowl,"Acai bowls are packed with vitamins and minerals from the fruits and yoghurt in it. Acai itself is an abundant source of anthocyanins which have cardioprotective, anti-diabetic and anti-obesity effects.",1,1,Acai bowl is high FODMAP.,Y,"Acai bowls are rich in anthocyanins, and fruits which can aid with weight loss. However, acai bowls loaded fruit and nut toppings can have a high caloric content which can result in weight gain. ","https://www.mayoclinic.org/healthy-lifestyle/nutrition-and-healthy-eating/expert-answers/acai/faq-20057794
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5530435/",1,"Consumption of anthocyanin rich fruits have shown to improve the insulin and glucose profiles in both healthy and type 2 diabetic people. However, acai bowls loaded with fruits is rich in carbohydrates which can cause a spike in blood sugar levels.","1 bowl (347 g) / serv

CHO = 54.13 g = 3.6 ex",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7202899/,5,Anthocyanins has demonstrated increasing HDL cholesterol levels and lowering LDL cholesterol levels.,"https://academic.oup.com/jcem/article/99/2/561/2536964 
https://www.health.harvard.edu/heart-health/fruit-of-the-month-berries",5,Sodium per serv = 63.5 mg,5,1,"Acai has vitamin B6, which is vital for the production of GABA, serotonin, and dopamine.",1,The polyphenols and fibre from the fruits and acai would be fermented by the gut bacteria to produce short chain fatty acids (SCFA).,1,"Acai is rich in anthocyanins which have been suggested to lower the risk of cardiovascular disease. Hence, they may work against cardiovascular risks associated with elevated levels of TMAO.",0,"Lactose
Nuts","Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian","Pomegranate
Strawberry
Blueberry
Blackberry
Raspberry","Breakfast
",,,
Almond,Almonds are a rich source of polyphenol antioxidants that may help to lower blood cholesterol levels. These antioxidants may also have neuroprotective benefits and prevent cognitive decline.,4,5,Almond up to 12g is low FODMAP.,N,"Almonds are high in calories, with 164 calories per 28g serving, or about 24 whole nuts. However, almonds are also high in protein and fiber, which makes them filling and hunger-reducing. Studies have shown that including a small serving of almonds is an effective way to control appetite. Additionally, there is evidence that nuts can slightly increase calorie burning (metabolic rate).",https://pubmed.ncbi.nlm.nih.gov/14574348/,5,"Being low in carbohydrates and high in healthy fats, protein, and fiber, almonds are helpful for preventing and managing diabetes. Additionally, almonds are high in magnesium, a mineral that helps with blood sugar control.","1 cup (143 g) / serv

CHO = 11.29 g = 0.75 ex",https://pubmed.ncbi.nlm.nih.gov/20580779/,5,Almonds lower LDL cholesterol and contain antioxidants that prevent oxidation of cholesterol.,https://pubmed.ncbi.nlm.nih.gov/21457263/,5,Sodium per serv = 0.57 mg,5,1,"Almonds are a good source of omega 3 fats, magnesium, and folate, which assist with production of serotonin.",1,A clinical study found that almonds improve beneficial gut bacteria and increase butyrate production.,1,Snacking on almonds might help reduce LDL cholesterol but does not impact liver fat.,1,Nuts,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Brazil Nut
Macadamia
Pistachio
Peanut
Pecan","Breakfast
Snack",,,
Apple,"Apple's soluble fibre nourishes the gut bacteria and may prevent weight gain. Together with its phytochemicals, it helps to lower blood cholesterol and promote better blood glucose control. ",1,1,Apple is high in FODMAP.,Y,A study suggested that the soluble fibre in apples increase satiety and reduce hunger.,https://sci-hub.se/https://doi.org/10.1080/07315724.2018.1447411,5,One of apple's polyphenols phloridzin might lower blood sugar levels and reduce risk of type 2 diabetes.,"1 whole (150 g) / serv

CHO = 16.84g = 1.1 ex",https://pubmed.ncbi.nlm.nih.gov/31910912/,5,Apple's polyphenols lower overall as well as LDL cholesterol levels,https://sci-hub.se/https://doi.org/10.1080/07315724.2018.1447411,5,Sodium per serv = 1.38 mg,5,1,Apple juice concentrates prevents deficiency of neurotransmitter acetylcholine.,1,Apple pectin increases butyrate levels by providing a source of energy for gut bacteria that produces butyrate.,1,Polyphenols in apples have antioxidative effects which protects the liver from oxidative stress.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Persimmon
Plum
Mango
Asian Pear
Packham Pear
Lychee","Breakfast
Snack",,,
Apricot,"Soluble fibre in apricots combat weight gain, and improve heart health by lowering high blood cholesterol. Soluble fibre also improves blood glucose control. ",1,1,Apricot is high in FODMAP.,Y,Apricot has fibre which helps stave off hunger.,https://www.hsph.harvard.edu/nutritionsource/carbohydrates/fiber/,5,"Phenolic compounds found in apricot like chlorogenic acid, lycopene, and beta-carotene combat oxidative stress which is associated with diabetes.","2 whole apricot (76 g) / serv

CHO = 7.9 g = 0.5 ex

Can eat up to 5",https://www.researchgate.net/publication/328274247_Nutritional_and_health_benefits_of_apricots,5,"Soluble fibre in apricots bind to LDL cholesterol, promoting the excretion and lowering of it.",https://www.researchgate.net/publication/328274247_Nutritional_and_health_benefits_of_apricots,5,Sodium per serv = 0.7 mg,5,1,Carotenoids have been shown to have protective effects against brain disorders.,1,Studies show that high levels of carotenoid and polyphenol antioxidants in apricots promote bacterial diversity in the gut.,1,Apricot's antioxidative properties may confer liver-protective effects.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Apple
Persimmon
Plum
Peach
Mango","Breakfast
Snack",,,
Asian Pear,Plums improve overall gut health and also prevent constipation due to its high fibre content. Its fibres also promote weight loss and reduce blood cholesterol levels.,1,1,Asian pear is high FODMAP.,Y,It is suggested the fibre in pears reduce energy intake and aids with reducing weight over time.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4657810/,5,Soluble fiber in Asian pears slows absorption of glucose into the bloodstream and improves insulin sensitivity.,"1 whole (169 g) / serv

CHO = 11.94 g = 0.8 ex",https://pubmed.ncbi.nlm.nih.gov/29092878/,5,Asian pears have exhibited hyperlipidemic effects in multiple studies.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8409479/,5,Sodium per serv = 6.29 mg,5,1,"Asian pears have many active compounds such as flavonoids, triterpenoids, phenolic acids, arbutin, chlorogenic acid, and malaxinic acid.",1,Asian pear fibres are suggested to promote gut health and prevent constipation.,1,"Asian pears are high in fibre and many phytochemicals. However, they are also a source of fructose and sorbitol. Excessive intake of fructose would impact the development of liver disease.",1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Apple
Fig
Persimmon
Pomegranate
Soursop","Breakfast
Snack",,,
Aspartame,"Despite appearing to have no negative impacts on the gut, aspartame may increase blood cholesterol levels as well as induce weight gain. Both would raise the risk of cardiovascular diseases.",6,5,Aspartame is low FODMAP.,N,Artificial sweeteners like aspartame do not appear to be associated with weight loss or maintenance.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7817779/,1,There is lack of consistent data to conclude whether aspartame is beneficial or detrimental to diabetes.,"1 tsp (3.5 g) / serv

CHO = 3.12 g = 0.2 ex",https://pubmed.ncbi.nlm.nih.gov/28571543/,1,A 2017 review of clinical trials reported that aspartame does not raise cholesterol levels.,"https://pubmed.ncbi.nlm.nih.gov/28394643/#:~:text=Total%20cholesterol%20was%20not%20affected,%2C%20%2D0.89%20to%200.42).",1,Sodium per serv = 0 mg,1,-1,"Aspartame has been shown to inhibit the production of serotonin, dopamine and GABA.",1,Aspartame may not have any impact on butyrate production.,-1,"Food containing aspartame are typically low in fibre and high in fat or other refined carbohydrates, consumption of which may increase the cardiovascular risks associated with elevated levels of TMAO.",0,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan",Honey,"Breakfast
Lunch
Dinner
Snack
Beverage","Splenda
Stevia
Xylitol
Maltitol
Saccharin",,
Avocado,Avocado consumption results in greater abundance and diversity of bacteria that break down fiber and produce metabolites that foster gut health. This has positive impacts on cardiovascular risk.,1,1,Avocado is high in FODMAP.,N,"A study found that replacing carbohydrates with avocado produced greater feelings of satiety due to its high fat and fibre content. However, should not overeat as it is high in fat content. ",https://pubmed.ncbi.nlm.nih.gov/31035472/,5,"When replacing carbohydrates with avocado as an energy source, post-meal blood glucose and inuslin levels were lower.","1 whole avocado (272 g) / serv

CHO = 17.17 g = 1.1 ex",https://pubmed.ncbi.nlm.nih.gov/30213052/,5,"Avocado consumption raises HDL cholesterol and lowers triglycerides, according to clinical research.",https://pubmed.ncbi.nlm.nih.gov/30213052/,5,Sodium per serv = 14.09 mg,5,1,Lutein in avocados are positively associated with GABA.,1,"Avocado's fibre, polyphenols, and monounsaturated fats have a beneficial effect on the balance of gut bacteria, which supports higher production of butyrate.",1,Avocado may suppress liver toxins and protect your body from liver damage.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Almond
Cashew
Pistachio
Brazil Nut","Breakfast
Snack",Hazelnut,,
Bamboo Shoot,Bamboo shoots are high in blood pressure-lowering potassium and antioxidants that help prevent narrowing of the arteries. Consumption of bamboo shoots has been found to lower total and LDL holesterol levels.,2,5,Bamboo shoot is low FODMAP.,Y,"Bamboo shoot fibres are a source of cellulose, hemicellulose and lignin which could reduce weight gain.",https://pubmed.ncbi.nlm.nih.gov/33869163/,5,Bamboo shoot fibres were found to have a blood sugar lowering effect in a mice study.,"1 whole (81 g) / serv

CHO = 1 g = 0.07 ex",https://pubmed.ncbi.nlm.nih.gov/30878528/,5,"A laboratory experiment found that fibre in bamboo shoots has strong binding capacity to cholesterol, effectively preventing cholesterol absorption from food.",https://pubmed.ncbi.nlm.nih.gov/32615381/,5,Sodium per serv = 4.31 mg,5,-1,Bamboo shoots contain good levels of nutrition.  However it naturally contains cyanogenic glycosides which can damage nervous tissue and retard growth. It is important to ensure they are properly cooked or boiled.,1,Laboratory experiments indicate that bamboo shoot fibre may increase levels of Bacteroidetes which produce propionate.,1,"There is preliminary evidence that bamboo shoot fibre promotes the excretion of of bile acids and cholesterol, promoting the production of fresh bile.",1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Okra
Cucumber
Zucchini
Soybean sprouts
Tomato","Lunch
Dinner",,,
Banana,"As a source of potassium and catechins, bananas protect cardiovascular health by lowering blood pressure and reducing risk for heart disease. Bananas also contain soluble fibre that support weight loss and better blood glucose control.",1,5,"Banana is low FODMAP, up to 33g.",Y,"Banana consumption may decrease levels of gut bacteria that have been found to promote obesity, according to preliminary research.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6627159/,5,Consumption of green bananas has been found to improve insulin sensitivy.,"1 whole banana (118 g) / serv

CHO =  17.22 g = 1.1 ex",https://www.mdpi.com/2072-6643/11/6/1222,5,Eating 250g of banana every day was shown to improve blood lipid profile.,https://pubmed.ncbi.nlm.nih.gov/25651610/,5,Sodium per serv = 0.76 mg,5,1,Banana has precusor tryptophan which is used to make serotonin.,1,"Research indicates that banana consumption results in increased numbers of beneficial bacteria Lactobacillus and Alloprevotella, thereby promoting production of butyrate.",1,Research on green banana consumption shows protective benefits for liver health by preventing oxidative damage. ,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Mango
Honeydew
Durian
Pineapple
Papaya","Breakfast
Snack",,,
Beef Steak,"Beef is a great source of iron which is essential for blood production. However, it is also a source of saturated fat which raises blood cholesterol levels and increase the risk of cardiovascular diseases.",3,5,Beef steak is low FODMAP.,N,"Steak is from fattier cuts of meat, hence they have a greater fat content which promotes weight gain rather than weight loss.",https://pubmed.ncbi.nlm.nih.gov/1480353/,1,High consumption of red meat promotes insulin resistance.,"1 whole steak (115 g) / serv

CHO =  0 g = 0 ex",https://pubmed.ncbi.nlm.nih.gov/29571924/,1,Red meat like beef is associated with increased levels of total and LDL cholesterol in a study with Korean individuals.,https://pubmed.ncbi.nlm.nih.gov/33992510/,1,Sodium per serv = 48.64 mg,1,1,"As an excellent source of tryptophan, beef would increase the production of serotonin and GABA.",-1,Animal fat decreases the number of SCFA producing bacteria and consequently lowers SCFA levels in the gut.,-1,"High intake of red meat, such as beef, is associated with greater cardiovascular risk.",1,N/A,Halal,"Tofu
Prawn
Salmon
Skinless Roasted Chicken
Fried Chicken","Lunch
Dinner","Stir-fried beef
Roast beef
Beef stew
Meatloaf
Beef burger patty","Tofu
Prawn
Salmon
Skinless Roasted Chicken
",
