Food_Name,Type,Overview,Irritable_Bowel_Syndrome​_Score,Irritable_Bowel_Syndrome​_Reason,Obesity_Score,Obesity_Reason,Diabetes_Score,Diabetes_Reason,GI_score,Carbohydrate_content,Hyperlipidimia_Score,Hyperlipidemia_Reason,Hypertension_Score,Hypertension_Reason,Healthy,Think_Well_Score,Think_Well_Reason,Feel_Well_Score,Feel_Well_Reason,Live_Well_Score,Live_Well_Reason,Superfood,Allergens,Dietary_Restrictions,Similar_Choices,Mealtimes,Additional_food,,
Apple,1,Apple's soluble fibre nourishes the gut bacteria and inhibits weight gain. Together with its phytochemicals  it helps to lower blood cholesterol and promote better blood glucose control. ,1,Apple is high in FODMAP.,5,A study suggested that the soluble fibre in apples increase satiety and reduce hunger.,5,One of apple's polyphenols phloridzin might lower blood sugar levels and reduce risk of type 2 diabetes.,"36
Low GI","1 whole (150 g) / serv

CHO = 16.84g = 1.1 ex
",5,Apple's polyphenols lower overall as well as LDL cholesterol levels,5,Sodium per serv = 1.38 mg,5,1,Apple juice concentrates prevents deficiency of neurotransmitter acetylcholine.,1,Apple pectin increases butyrate levels by providing a source of energy for gut bacteria that produces butyrate.,1,Polyphenols in apples have antioxidative effects which protects the liver from oxidative stress.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Persimmon
Plum
Mango
Asian Pear
Packham Pear
Lychee","Breakfast
Snack",,,
Apricot,1,Soluble fibre in apricots combat weight gain  and improve heart health by lowering high blood cholesterol. Soluble fibre also improves blood glucose control. ,1,Apricot is high in FODMAP.,5,Apricot has fibre which helps stave off hunger.,5,Phenolic compounds found in apricot like chlorogenic acid  lycopene  and beta-carotene combat oxidative stress which is associated with diabetes.,"34 - 58 
Low GI","2 whole apricot (76 g) / serv

CHO = 7.9 g = 0.5 ex

Can eat up to 5",5,Soluble fibre in apricots bind to LDL cholesterol  promoting the excretion and lowering of it.,5,Sodium per serv = 0.7 mg,5,1,Carotenoids have been shown to have protective effects against brain disorders.,1,Studies show that high levels of carotenoid and polyphenol antioxidants in apricots promote bacterial diversity in the gut.,1,Apricot's antioxidative properties may confer liver-protective effects.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Apple
Persimmon
Plum
Peach
Mango","Breakfast
Snack",,,
Avocado,1,Avocado consumption results in greater abundance and diversity of bacteria that break down fiber and produce metabolites that foster gut health. This has positive impacts on weight management and cardiovascular risk.,1,Avocado is high in FODMAP.,4,A study found that replacing carbohydrates with avocado produced greater feelings of satiety due to its high fat and fibre content.,5,When replacing carbohydrates with avocado as an energy source  post-meal blood glucose and inuslin levels were lower.,"40
Low GI","1 whole avocado (272 g) / serv

CHO = 17.17 g = 1.1 ex",5,Avocado consumption raises HDL cholesterol and lowers triglycerides  according to clinical research.,5,Sodium per serv = 14.09 mg,4,1,Lutein in avocados are positively associated with GABA.,1,Avocado's fibre  polyphenols  and monounsaturated fats have a beneficial effect on the balance of gut bacteria  which supports higher production of butyrate.,1,Avocado may suppress liver toxins and protect your body from liver damage.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Almond
Cashew
Pistachio
Brazil Nut","Breakfast
Snack",Hazelnut,,
Banana,1,As a source of potassium and catechins  bananas protect cardiovascular health by lowering blood pressure and reducing risk for heart disease. Bananas also contain soluble fibre that support weight loss and better blood glucose control.,5,Banana is low FODMAP  up to 33g.,4,Banana consumption may decrease levels of gut bacteria that have been found to promote obesity  according to preliminary research.,5,Consumption of green bananas has been found to improve insulin sensitivy.,ripe bananas have a low GI of 51  with slightly under-ripe bananas even lower at 42; they have a moderate GL of 13 and 11  respectively,"1 whole banana (118 g) / serv

CHO =  17.22 g = 1.1 ex",5,Eating 250g of banana every day was shown to improve blood lipid profile.,5,Sodium per serv = 0.76 mg,5,1,Banana has precusor tryptophan which is used to make serotonin.,1,Research indicates that banana consumption results in increased numbers of beneficial bacteria Lactobacillus and Alloprevotella  thereby promoting production of butyrate.,1,Research on green banana consumption shows protective benefits for liver health by preventing oxidative damage. ,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Mango
Honeydew
Durian
Pineapple
Papaya","Breakfast
Snack",,,
Blackberry,1,Blackberries increase HDL cholesterol  reduce blood pressure  and contain high levels of heart-healthy polyphenol antioxidants. Blackberry antioxidants can also help prevent age-related cognitive decline.,1,Blackberry is high FODMAP.,5,Blackberry consumption promotes the burning of body fat for energy.,5,With 5.3g of fibre per 100g  blackberries slow the absorption of glucose into the bloodsteam. Blackberries are also considered low GI and unlikely to cause a spike in blood sugar level.,"25
Low GI","1 cup (144 g) / serv

CHO =  13.8 g = 0.92 ex",5,A preliminary study found that antioxidants in blackberries inhibit cholesterol production by liver cells.,5,Sodium per serv = 1.44 mg,5,1,Anthocyanin antioxidants in blackberries may provide antidepressive effects  according to research.,1,Anthocyanin antioxidants in blackberries supported the growth of Lachnospiraceae and Ruminococcus  resulting in increased butyrate production.,1,Blackberry anthocyanins may reduce hepatic inflammation  preventing tissue damage in the liver. ,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Raspberry
Blueberry
Plum
Pomegranate
Red Grapefruit","Breakfast
Snack",,,
Blueberry,1,High in fiber and low in calories  blueberries are an excellent addition to a weight loss diet. Antioxidants abundantly found in blueberries play a role in protecting the heart and cardiovascular system.,5,Blueberry is low FODMAP  up to 28g.,5,Blueberry polyphenols influence the gut microbiome in a way that is favourable to weight loss.,3,In a clinical study  blueberry consumption improved insulin sensitivity in obese participants at risk for developing diabetes.,"53
Low GI","1 cup (148 g) / serv

CHO =  21.5 g = 1.5 ex",5,Eating 75g of blueberries with breakfast for 3 weeks showed prevention of oxidation of cholesterol  subsequently preventing hardening of the arteries.,5,Sodium per serv = 1.48 mg,5,1,A diet enriched with blueberries might increase serotonin levels.,1,Blueberry's anthocyanins may stimulate the growth of butyrate-producing Bifidobacterium and Lactobacillus.,1,Blueberries have antifibrosis effects on the liver  preventing liver cell damage.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Raspberry
Blackberry
Strawberry
Mangosteen
Red Grape","Breakfast
Snack",,,
Ciku,1,Ciku's high potassium and fiber content help keep blood cholesterol levels and blood pressure low. High levels of both are risk factors for kidney failure  and heart diseases. ,3,FODMAP levels is unknown for Ciku.,5,Ciku is a source of flavonol kaempferol that has protective effects against obesity.,5,In a preliminary research  ciku may lower insulin and blood glucose levels  exhibiting anti-diabetic effects.,"37
Low GI ","1 whole (53.7 g) / serv

CHO =  9.88 g = 0.65 ex",5,Preliminary evidence indicates that ciku consumption may help lower cholesterol and triglyceride levels.,5,Sodium per serv = 11 mg,5,1,Ciku contains considerable amounts of vitamin C and moderate amounts of vitamin B6  which are necessary co-factors in the production of serotonin.,1,Ciku has high fiber content which may support the growth of healthy intestinal bacteria  resulting in higher butyrate production.,1,Ciku's high fiber and cholesterol-lowering effects benefit liver health  thereby helping to ensure that the liver is capapble of producing sufficient quantities of healthy bile.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Guava
Watermelon
Peach
Persimmon
Apricot","Breakfast
Snack",,,
Durian,1,Durian promotes heart health by lowering blood pressure and cholesterol levels. It is also high in fibre  encouraging weight loss and better blood glucose control.,5,Durian is low FODMAP.,4,Durian is high in fibre. Fibre helps keep you full longer and reduce your energy intake to lose weight. However  durian is also an energy-dense fruit. It results in excessive energy intake if not eaten in moderation.,5,Durian's tannins and flavonoids has been shown to decrease the risk of diabetes.,"49 
Low GI","2 seeds (54 g) / serv

CHO = 15.98 g = 1 ex",5,Preliminary research indicates that durian has a cholesterol-lowering effect.,5,Sodium per serv = 1.62 mg,5,1,Durians contain vitamin B6 which is required to produce serotonin and GABA.,1,Fermented durian was shown to improve the population of lactic acid bacteria  improving butyrate production.,1,Durian promotes liver health by improving the liver's glycolytic ability. Additionally  fibre in durian lowers cholesterol and binds to bile acids  prompting production of fresh bile.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Banana
Mangosteen
Papaya
Honeydew
Jackfruit",Snack,,,
Fig,1,Figs mprove gut health by promoting balanced populations of beneficial bacteria in the gut. They may aid in lowering blood pressure and also preventing constipation.,1,Fig is high in FODMAP.,4,Figs may inhibit the digestion and subsequently intake of dietary fats.,3,Consuming figs with meals can prevent blood sugar levels from spiking during and after eating.,"61
Medium GI","3 pieces (151.5 g) / serv

CHO = 28.77 g = 1.9 ex",5,Figs have been found to decrease total and LDL cholesterol levels in laboratory animals.,5,Sodium per serv = 1.5 mg,5,1,Figs have vitamin B6  which is needed to produce serotonin  dopamine and GABA.,1,Pectic polysaccharides in figs have been shown to improve imbalanced gut microbiomes in obese mice.,1,Figs antioxidative effects protect the liver from oxidative damage.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Watermelon
Blackberry
Asian Pear
Packham Pear
Persimmon
Plum","Breakfast
Snack",,,
Red Grapefruit,1,Grapefruit's flavanones nurture the gut bacteria  maintaining the integrity of our gut lining. It is also rich in antioxidants that combat weight gain and high blood cholesterol  as well as improve blood glucose and insulin levels,1,Red graprefruit is high in FODMAP.,4,Grapefruit's anti-inflammatory and antioxidant properties may boost weight loss.,5,Consuming fresh grapefruit was shown to improve insulin resistance.,"25
Low GI","1/2 (256 g) / serv

CHO = 10.34 g = 0.69 ex",5,In one study  daily consumption of grapefruit for 12 weeks resulted in significantly lower cholesterol levels. ,5,Sodium per serv = N/A mg,5,1,Grapefruit contains vitamin C which are necessary co-factors in the production of serotonin  dopamine and GABA.,1,Flavonoid antioxidants in grapefruit are thought to improve the diversity and numbers of beneficial gut bacteria  leading to increased butyrate production.,1,Grapefruit fibre supports liver health which enables the liver to produce healthy bile in abundance  as needed.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Pomelo
Lime
Blackberry
Plum
Pomegranate","Breakfast
Snack",,,
